title,company,location,jobField,mode,detailURL,applyURL
2024 Summer Investment Analyst Program,Bank Of America,New York,Marketing,Onsite,int1detail.html,job1form.html
IT Service Student Analyst,NYU,New York,IT,Remote,int2detail.html,job1form.html
Entry Level Full Stack Developer,Newhouse,New York,IT,Onsite,int3detail.html,job1form.html
Citadel Associate Program Summer Internship,Citadel,New York,Finance,Onsite,int4detail.html,job1form.html
Data Science Intern,Datacom,Abu Dhabi,IT,Onsite,int5detail.html,job1form.html
Corporate Banking Division Intern,Corphouse,Dubai,Finance,Onsite,int6detail.html,job1form.html
Customer Success Specialist,Fintech,Dubai,Marketing,Remote,int7detail.html,job1form.html
Investment Banking Intern,SHUAA Capital,Abu Dhabi,IT,Onsite,int8detail.html,job1form.html
Operations Intern,General Electric,Dubai,Finance,Onsite,int9detail.html,job1form.html
Policy Intern,Whiteshield,Dubai,Marketing,Remote,int10detail.html,job1form.html


